bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against
872b03f7,A Badoni,-1.2074,-0.0345,35,2.1344
bd77eb62,A Symonds,-1.3956,-0.0026,540,-39.7471
10a91f35,Shoaib Akhtar,-1.4049,-0.0305,46,-0.2848
271f83cd,SA Yadav,-1.4091,-0.2348,6,1.2203
3edb58fc,AD Mascarenhas,-1.7096,-0.0055,310,-19.4468
0264c10e,D Salunkhe,-1.7913,-0.0351,51,-5.5151
18e6906e,A Choudhary,-1.8167,-0.0168,108,-2.0899
d4d929b0,V Kaverappa,-1.9361,-0.0807,24,8.6802
d3611425,LI Meriwala,-2.0527,-0.108,19,3.2175
266849c1,R Goyal,-2.1054,-0.0877,24,-0.7437
1b7b0fa7,Vivrant Sharma,-2.2672,-0.108,21,2.4481
8998a68f,Sumit Kumar,-2.4177,-0.1099,22,6.4102
7dcb9bc9,M Shahrukh Khan,-2.7029,-0.1502,18,3.4536
1ac746c8,Atharva Taide,-2.7509,-2.7509,1,2.8642
249abedf,Jalaj S Saxena,-2.7706,-0.1539,18,2.7006
30a45b23,SPD Smith,-2.7911,-1.3956,2,2.3129
c15e2193,FY Fazal,-2.8544,-0.2379,12,1.8683
77255a9e,RA Tripathi,-2.9042,-0.484,6,2.7012
19b9f399,CJ Green,-2.9112,-0.1712,17,0.2754
f088b960,SN Khan,-2.9649,-1.4825,2,2.8298
752f7486,Ishan Kishan,-2.9944,-2.9944,1,3.1077
b1451597,LR Shukla,-3.0609,-0.0094,326,-25.1121
16605a1b,AA Kazi,-3.1853,-0.245,13,0.6959
c6097d68,O Thomas,-3.2282,-0.0504,64,-4.2645
756389bd,S Vidyut,-3.4362,-0.2643,13,1.0839
844e79d1,D Brevis,-3.545,-1.1817,3,3.2689
33ffc3dd,R Sanjay Yadav,-3.5473,-0.2534,14,3.3301
39f82db3,DJ Harris,-3.6854,-0.2047,18,2.0841
7c390b03,RA Shaikh,-3.7082,-0.618,6,3.3814
888e32bf,Abdur Razzak,-3.7547,-0.2682,14,1.2582
89f64c19,LMP Simmons,-3.8443,-0.2136,18,3.8985
fb5f69e4,M Tiwari,-3.8485,-0.6414,6,5.4192
08548b13,PHKD Mendis,-3.9174,-0.0933,42,3.8572
c27b5a0e,PVSN Raju,-3.9317,-0.1356,29,6.1352
1a0c3177,P Awana,-3.9439,-0.0051,774,-28.9993
9f77963a,Gulbadin Naib,-4.0383,-0.6731,6,5.0386
4b57e452,M Vijay,-4.1387,-0.1119,37,-0.2842
8361e524,SSB Magala,-4.4856,-0.1212,37,3.2799
b720a5d6,DB Ravi Teja,-4.5766,-0.2543,18,1.9247
c96f6ac5,PWA Mulder,-4.6819,-0.7803,6,6.2664
b61a3e1a,LRPL Taylor,-4.9029,-0.3771,13,2.2671
6c19c6e5,YBK Jaiswal,-5.1059,-5.1059,1,5.1042
fef92afc,SC Kuggeleijn,-5.1348,-0.1027,50,-0.0051
d7a57f75,D du Preez,-5.2013,-0.121,43,0.0086
24d94623,Ankit Sharma,-5.2176,-0.0139,375,-51.1509
5d096f3d,RR Powar,-5.3006,-0.012,443,-67.1172
0bf15e52,Harmeet Singh,-5.324,-0.213,25,-0.8689
378daa89,Aman Hakim Khan,-5.3927,-0.8988,6,5.8605
798934ea,C Ganapathy,-5.4284,-0.9047,6,4.9615
9d704f6f,SZ Mulani,-5.4744,-0.1659,33,7.7812
12314277,Arshad Khan (2),-5.5421,-0.2132,26,10.5926
f18ba07f,Ankit Soni,-5.6962,-0.0509,112,-3.5393
be869ccf,GHS Garton,-5.6996,-0.0588,97,-1.2258
fdf7491e,IC Porel,-5.7236,-0.2201,26,3.6297
c28e9f12,Tejas Baroka,-5.7372,-0.2732,21,2.4189
670709ec,SB Joshi,-5.7965,-0.1054,55,0.4705
cf0ccafa,M Siddharth,-5.9745,-0.0592,101,9.1519
c69a7b5c,AS Raut,-5.9818,-0.1994,30,0.3306
ad427b5c,Lalit Yadav,-6.0269,-0.0205,294,25.5788
8291f939,AL Menaria,-6.3313,-0.056,113,-12.782
2af1b6d2,AN Ahmed,-6.3819,-0.0176,362,-14.2018
1cb14aa4,CJ Dala,-6.6038,-0.3476,19,7.1676
cedc1d9a,P Suyal,-6.7527,-0.0631,107,3.06
6834d1f2,B Stanlake,-6.7703,-0.0451,150,5.505
3dba85c2,WA Mota,-6.785,-0.0905,75,-0.4661
