price_name,team,role_category,is_overseas,price_cr,price_norm,total_WAR,roi_basic,xWAR_price_only,vope_simple,xWAR_market_adj,vomam_score
Axar Patel,Delhi Capitals,unknown,1,16.5,13.750000000000002,0.8770431993892213,0.06378495995557971,0.8434955361084904,0.03354766328073089,0.823270855568595,0.053772343820626234
Jitesh Sharma,Royal Challengers Bengaluru,unknown,0,11.0,9.166666666666666,0.6567170436825183,0.07164185931082018,0.6604114431799271,-0.0036943994974087957,0.6062783011929442,0.05043874248957403
Arshad Khan,Gujarat Titans,unknown,1,1.3,1.0833333333333335,0.220477082546991,0.2035173069664532,0.16327221439483447,0.05720486815215653,0.170175851300559,0.05030123124643199
Arshdeep Singh,Punjab Kings,unknown,0,18.0,15.0,0.9568047218002992,0.06378698145335328,0.8810185992892188,0.07578612251108041,0.9070457373690135,0.04975898443128568
Hardik Pandya,Mumbai Indians,unknown,0,16.35,13.625000000000002,0.8831928116563561,0.06482149076376925,0.839450732825137,0.043742078831219056,0.8361505559846545,0.047042255671701616
Devdutt Padikkal,Royal Challengers Bengaluru,unknown,0,2.0,1.6666666666666667,0.2610133340263969,0.15660800041583814,0.20659361851243244,0.05441971551396449,0.21957731182371248,0.04143602220268444
Akash Madhwal,Rajasthan Royals,unknown,0,1.2,1.0,0.2251177859083468,0.2251177859083468,0.15698889790440865,0.06812888800393815,0.18520389054644742,0.039913895361899376
Kamindu Mendis,Sunrisers Hyderabad,unknown,1,0.75,0.625,0.1797093716122997,0.2875349945796795,0.12842147673221177,0.05128789488008792,0.14654412417243928,0.03316524743986041
Mohammed Siraj,Gujarat Titans,unknown,1,12.25,10.208333333333334,0.6724715774161837,0.06587476676729963,0.7082998082517882,-0.03582823083560449,0.6406620550331243,0.03180952238305934
Ishan Kishan,Sunrisers Hyderabad,unknown,0,11.25,9.375,0.6461817552697401,0.06892605389543895,0.6702845676743807,-0.024102812404640628,0.6170199953420896,0.029161759927650466
Trent Boult,Mumbai Indians,unknown,1,12.5,10.416666666666668,0.6790374622772053,0.0651875963786117,0.717434304046038,-0.038396841768832735,0.6514037491822697,0.027633713094935564
Tushar Deshpande,Rajasthan Royals,unknown,0,6.5,5.416666666666667,0.4311587898901723,0.07959854582587796,0.45743410073278584,-0.02627531084261353,0.4129278065083284,0.018230983381843924
Yash Dayal,Royal Challengers Bengaluru,unknown,0,5.0,4.166666666666666,0.3634586399066841,0.08723007357760419,0.37913873330080267,-0.015680093394118577,0.3484776416134564,0.014980998293227688
Abdul Samad,Lucknow Super Giants,unknown,1,4.2,3.5000000000000004,0.3048685017418617,0.08710528621196047,0.3352066811103448,-0.030338179368483098,0.29477950343064485,0.010088998311216846
Tilak Varma,Mumbai Indians,unknown,0,8.0,6.666666666666667,0.4853255464722896,0.07279883197084344,0.5304113415233008,-0.045085795051011235,0.4773779714032004,0.007947575069089219
Azmatullah Omarzai,Punjab Kings,unknown,1,2.4,2.0,0.2170509823758863,0.10852549118794315,0.23082871197468774,-0.013777729598801441,0.21743930555679844,-0.00038832318091214235
Nuwan Thushara,Royal Challengers Bengaluru,unknown,1,1.6,1.3333333333333335,0.180400055863848,0.13530004189788597,0.18198034715567274,-0.0015802912918247425,0.1830658842795334,-0.0026658284156854117
Manish Pandey,Kolkata Knight Riders,unknown,0,0.75,0.625,0.1582952883065118,0.25327246129041886,0.12842147673221177,0.029873811574300024,0.16586884107798586,-0.0075735527714740625
Deepak Chahar,Mumbai Indians,unknown,0,9.25,7.708333333333334,0.5215791829408936,0.06766432643557538,0.5871632509976088,-0.06558406805671524,0.5310864421489271,-0.009507259208033525
Washington Sundar,Gujarat Titans,unknown,0,3.2,2.666666666666667,0.2368443039791846,0.08881661399219422,0.2781643652156852,-0.041320061236500616,0.2711374437396101,-0.03429313976042547
Anshul Kamboj,Chennai Super Kings,unknown,0,3.4,2.833333333333333,0.2354516299604064,0.08310057528014345,0.2897619173418693,-0.0543102873814629,0.2797307990589263,-0.044279169098519894
Jacob Bethell,Royal Challengers Bengaluru,unknown,1,2.6,2.166666666666667,0.181109880562128,0.08358917564405907,0.2428044419953763,-0.06169456143324828,0.22603266087611473,-0.04492278031398672
Marcus Stoinis,Punjab Kings,unknown,1,11.0,9.166666666666666,0.5413852680975082,0.059060211065182715,0.6604114431799271,-0.11902617508241886,0.5869535842873976,-0.045568316189889435
Sam Curran,Chennai Super Kings,unknown,1,2.4,2.0,0.1716265445549719,0.08581327227748595,0.23082871197468774,-0.059202167419715845,0.21743930555679844,-0.045812761001826546
Shaik Rasheed,Chennai Super Kings,unknown,1,0.3,0.25,0.0778372575733751,0.3113490302935004,0.09937542416228275,-0.021538166588907642,0.1272090747039777,-0.04937181713060258
MS Dhoni,Chennai Super Kings,unknown,0,4.0,3.3333333333333335,0.2375930396448868,0.07127791189346604,0.32398730687866506,-0.08639426723377827,0.30551086501687513,-0.06791782537198834
Rahmanullah Gurbaz,Kolkata Knight Riders,unknown,1,2.0,1.6666666666666667,0.129255387009192,0.0775532322055152,0.20659361851243244,-0.07733823150324043,0.20025259491816594,-0.07099720790897393
Akash Singh,Lucknow Super Giants,unknown,0,0.3,0.25,0.0724400164044841,0.2897600656179364,0.09937542416228275,-0.02693540775779865,0.14653379160952426,-0.07409377520504017
Dushmantha Chameera,Delhi Capitals,unknown,1,0.75,0.625,0.0702275483201746,0.11236407731227935,0.12842147673221177,-0.058193928412037174,0.14654412417243928,-0.07631657585226469
Ashwani Kumar,Mumbai Indians,unknown,0,0.3,0.25,0.0650075021726697,0.2600300086906788,0.09937542416228275,-0.03436792198961304,0.14653379160952426,-0.08152628943685455
Virat Kohli,Royal Challengers Bengaluru,unknown,0,21.0,17.5,0.9538712989823688,0.05450693137042107,0.9401103457262712,0.013760953256097608,1.0359460671587575,-0.0820747681763887
Faf du Plessis,Delhi Capitals,unknown,1,2.0,1.6666666666666667,0.1139144252095318,0.06834865512571907,0.20659361851243244,-0.09267919330290064,0.20025259491816594,-0.08633816970863414
Gerald Coetzee,Gujarat Titans,unknown,1,2.4,2.0,0.1222600651069548,0.0611300325534774,0.23082871197468774,-0.10856864686773295,0.21743930555679844,-0.09517924044984365
Karn Sharma,Mumbai Indians,unknown,0,0.5,0.4166666666666667,0.0575111743853621,0.13802681852486903,0.11234387115604527,-0.05483269677068317,0.15512714692884053,-0.09761597254347842
Quinton de Kock,Kolkata Knight Riders,unknown,1,3.6,3.0000000000000004,0.165598880776152,0.05519962692538399,0.30126492499442736,-0.13566604421827536,0.26899943747269606,-0.10340055669654405
Dhruv Jurel,Rajasthan Royals,unknown,0,14.0,11.666666666666666,0.6301697018054911,0.0540145458690421,0.7691390382706811,-0.13896933646518994,0.7351786309826882,-0.10500892917719706
Kumar Kartikeya,Rajasthan Royals,unknown,0,0.3,0.25,0.0328605226858554,0.1314420907434216,0.09937542416228275,-0.06651490147642734,0.14653379160952426,-0.11367326892366886
Matthew Breetzke,Lucknow Super Giants,unknown,1,0.75,0.625,0.0305281997240555,0.048845119558488796,0.12842147673221177,-0.09789327700815627,0.14654412417243928,-0.11601592444838378
Josh Hazlewood,Royal Challengers Bengaluru,unknown,1,12.5,10.416666666666668,0.5349461872421616,0.0513548339752475,0.717434304046038,-0.18248811680387644,0.6514037491822697,-0.11645756194010815
Atharva Taide,Sunrisers Hyderabad,unknown,0,0.3,0.25,0.0299041069368256,0.1196164277473024,0.09937542416228275,-0.06947131722545714,0.14653379160952426,-0.11662968467269866
V. Satyanarayana Raju,Mumbai Indians,unknown,0,0.3,0.25,0.0288251660903247,0.1153006643612988,0.09937542416228275,-0.07055025807195806,0.14653379160952426,-0.11770862551919956
Tristan Stubbs,Delhi Capitals,unknown,1,10.0,8.333333333333332,0.4166681389926449,0.050000176679117395,0.6194416878017039,-0.20277354880905907,0.5439868076908163,-0.12731866869817143
Vignesh Puthur,Mumbai Indians,unknown,0,0.3,0.25,0.0169667690227477,0.0678670760909908,0.09937542416228275,-0.08240865513953505,0.14653379160952426,-0.12956702258677655
Kulwant Khejroliya,Gujarat Titans,unknown,0,0.3,0.25,0.0126796029446671,0.0507184117786684,0.09937542416228275,-0.08669582121761565,0.14653379160952426,-0.13385418866485715
Swapnil Singh,Royal Challengers Bengaluru,unknown,1,0.5,0.4166666666666667,0.0,0.0,0.11234387115604527,-0.11234387115604527,0.13580243002329395,-0.13580243002329395
Kartik Tyagi,Rajasthan Royals,unknown,1,0.6,0.5,0.0,0.0,0.11879264047531676,-0.11879264047531676,0.14009910768295208,-0.14009910768295208
Darshan Nalkande,Delhi Capitals,unknown,0,0.3,0.25,0.0,0.0,0.09937542416228275,-0.09937542416228275,0.14653379160952426,-0.14653379160952426
Mayank Markande,Kolkata Knight Riders,unknown,0,0.3,0.25,0.0,0.0,0.09937542416228275,-0.09937542416228275,0.14653379160952426,-0.14653379160952426
Manav Suthar,Gujarat Titans,unknown,0,0.3,0.25,0.0,0.0,0.09937542416228275,-0.09937542416228275,0.14653379160952426,-0.14653379160952426
Kamlesh Nagarkoti,Chennai Super Kings,unknown,0,0.3,0.25,0.0,0.0,0.09937542416228275,-0.09937542416228275,0.14653379160952426,-0.14653379160952426
Anuj Rawat,Gujarat Titans,unknown,0,0.3,0.25,0.0,0.0,0.09937542416228275,-0.09937542416228275,0.14653379160952426,-0.14653379160952426
Arjun Tendulkar,Mumbai Indians,unknown,0,0.3,0.25,0.0,0.0,0.09937542416228275,-0.09937542416228275,0.14653379160952426,-0.14653379160952426
Arshin Kulkarni,Lucknow Super Giants,unknown,0,0.3,0.25,0.0,0.0,0.09937542416228275,-0.09937542416228275,0.14653379160952426,-0.14653379160952426
Sachin Baby,Sunrisers Hyderabad,unknown,0,0.3,0.25,0.0,0.0,0.09937542416228275,-0.09937542416228275,0.14653379160952426,-0.14653379160952426
Yuvraj Singh,Lucknow Super Giants,unknown,0,0.3,0.25,0.0,0.0,0.09937542416228275,-0.09937542416228275,0.14653379160952426,-0.14653379160952426
