batter_id,batter_name,RAA,RAA_per_ball,balls_faced,total_weighted_runs,is_replacement,VORP,VORP_per_ball,WAR,WAR_per_ball
35205dfc,DR Smith,187.2954,0.1039,1803,46.2544,False,651.2699305263159,0.3612146037306245,6.0657655339733,0.0033642626367017
fb2d1dda,N Rana,69.2641,0.0319,2168,38.0007,False,627.1658094736842,0.2892831224509614,5.841265768431207,0.0026943107787966
b5da6c24,PA Patel,-6.9767,-0.0029,2442,-194.7841,False,621.434727368421,0.2544777753351437,5.787887900550245,0.0023701424654177
00ea847a,MA Agarwal,63.8605,0.0296,2161,24.9787,False,619.9608663157895,0.2868861019508512,5.774160726676744,0.0026719855283094
9d430b40,SP Narine,297.8385,0.2576,1156,324.3912,False,595.3174557894738,0.5149804980877801,5.544638153618167,0.0047963997868669
4b57e452,M Vijay,14.5414,0.0066,2208,-187.3039,False,582.7364989473684,0.2639205158276125,5.427462262608464,0.002458089792848
3241e3fd,N Pooran,197.4836,0.1367,1445,223.0314,False,569.3322947368421,0.3940015880531779,5.3026188511448895,0.0036696324229376
508a1ea7,SE Marsh,76.1241,0.0398,1913,-54.5231,False,568.4054515789473,0.2971277844113681,5.293986465372045,0.0027673740017627
45a43fe2,RD Gaikwad,75.7067,0.0402,1884,33.5319,False,560.5253442105263,0.29751876019667,5.220593112725241,0.0027710154526142
dbe50b21,HH Pandya,49.0983,0.0248,1976,47.3657,False,557.5917400000001,0.2821820546558705,5.19327025552508,0.0026281732062373
6c19c6e5,YBK Jaiswal,179.2047,0.1225,1463,264.649,False,555.68542,0.379825987696514,5.175515266985413,0.0035376044203591
8b3e9c7c,PP Shaw,205.4677,0.1529,1344,204.8899,False,551.3255863157896,0.4102124898182958,5.134908864546155,0.003820616714692
77255a9e,RA Tripathi,109.2766,0.0638,1712,63.967,False,549.8336694736843,0.3211645265617314,5.121013523557384,0.0029912462170311
fe93fd9d,RA Jadeja,-125.4935,-0.048,2614,-279.5693,False,547.1795021052632,0.2093265118994886,5.096293271339145,0.0019496148704434
