Ball calibrator: vector scaling (models/auto/d16/vector_scaling_calibrator_d16.pkl)
Loading stats provider + player metadata + model ...
StatsProvider: using SQLite backend player_stats_cache_i7.sqlite (56.7 MB)
Loading player metadata from data/all_players_enriched.csv...
  Loaded 11,256 players
  Batting: 8178 right, 1814 left, 1264 unknown
  Bowling: 6256 right, 1381 left, 3619 unknown
Loaded XGBoost v2 model with 114 features with real player stats with player metadata; venue encoder ACTIVE (373 venues)
Bowler selector: empirical
Run-out dismissal channel ACTIVE (p_runout=0.0751, nonstriker_share=0.4685)
Running prop backtest on 261 matches × 100 sims
B10 usage-aligned bowler selector ACTIVE (k_u=5.0)
  as-of corpus: /Users/aryamangupta/CricML/Match_Prediction/models/b10_usage_corpus.pkl (7433 players); min_eligible=5, min_share=0.01
  [44/261] 1493261                                                       sim_runs={'Brisbane Heat': 158.96, 'Sydney Sixers': 153.33}  actual_runs={'Brisbane Heat': 114, 'Sydney Sixers': 118}  (8.8s)
  [45/261] 1493262                                                       sim_runs={'Adelaide Strikers': 178.29, 'Sydney Thunder': 154.14}  actual_runs={'Adelaide Strikers': 165, 'Sydney Thunder': 159}  (8.9s)
  [46/261] 1493263                                                       sim_runs={'Perth Scorchers': 178.16, 'Melbourne Renegades': 155.96}  actual_runs={'Perth Scorchers': 127, 'Melbourne Renegades': 130}  (9.0s)
  [47/261] 1493264                                                       sim_runs={'Melbourne Stars': 163.83, 'Sydney Sixers': 156.63}  actual_runs={'Melbourne Stars': 128, 'Sydney Sixers': 129}  (8.8s)
  [48/261] 1493265                                                       sim_runs={'Hobart Hurricanes': 178.38, 'Adelaide Strikers': 166.58}  actual_runs={'Hobart Hurricanes': 178, 'Adelaide Strikers': 141}  (9.0s)
  [49/261] 1493266                                                       sim_runs={'Sydney Thunder': 161.1, 'Brisbane Heat': 147.29}  actual_runs={'Sydney Thunder': 180, 'Brisbane Heat': 183}  (9.0s)
  [50/261] 1493267                                                       sim_runs={'Melbourne Renegades': 177.14, 'Melbourne Stars': 159.42}  actual_runs={'Melbourne Renegades': 166, 'Melbourne Stars': 170}  (8.9s)
  [51/261] 1493268                                                       sim_runs={'Sydney Sixers': 170.49, 'Hobart Hurricanes': 160.19}  actual_runs={'Sydney Sixers': 32}  (8.9s)
  [52/261] 1493269                                                       sim_runs={'Perth Scorchers': 183.27, 'Adelaide Strikers': 166.89}  actual_runs={'Perth Scorchers': 232, 'Adelaide Strikers': 200}  (8.7s)
  [53/261] 1493270                                                       sim_runs={'Melbourne Renegades': 164.36, 'Sydney Thunder': 151.02}  actual_runs={'Melbourne Renegades': 170, 'Sydney Thunder': 140}  (8.6s)
  [54/261] 1493271                                                       sim_runs={'Adelaide Strikers': 175.19, 'Melbourne Stars': 154.15}  actual_runs={'Adelaide Strikers': 83, 'Melbourne Stars': 86}  (8.9s)
  [55/261] 1493272                                                       sim_runs={'Brisbane Heat': 178.64, 'Hobart Hurricanes': 163.4}  actual_runs={'Brisbane Heat': 160, 'Hobart Hurricanes': 157}  (9.5s)
  [56/261] 1493273                                                       sim_runs={'Perth Scorchers': 179.98, 'Melbourne Renegades': 165.96}  actual_runs={'Perth Scorchers': 219, 'Melbourne Renegades': 169}  (9.3s)
  [57/261] 1493274                                                       sim_runs={'Sydney Thunder': 155.05, 'Sydney Sixers': 151.7}  actual_runs={'Sydney Thunder': 189, 'Sydney Sixers': 191}  (9.0s)
  [58/261] 1493275                                                       sim_runs={'Melbourne Renegades': 189.31, 'Adelaide Strikers': 158.73}  actual_runs={'Melbourne Renegades': 99, 'Adelaide Strikers': 100}  (9.3s)
  [59/261] 1493276                                                       sim_runs={'Melbourne Stars': 167.34, 'Perth Scorchers': 160.58}  actual_runs={'Melbourne Stars': 130, 'Perth Scorchers': 134}  (8.9s)
  [60/261] 1493277                                                       sim_runs={'Brisbane Heat': 165.35, 'Sydney Sixers': 159.49}  actual_runs={'Brisbane Heat': 171, 'Sydney Sixers': 177}  (9.1s)
  [61/261] 1493278                                                       sim_runs={'Perth Scorchers': 178.69, 'Sydney Sixers': 168.09}  actual_runs={'Perth Scorchers': 147, 'Sydney Sixers': 99}  (9.2s)
  [62/261] 1493279                                                       sim_runs={'Hobart Hurricanes': 185.52, 'Melbourne Stars': 172.41}  actual_runs={'Hobart Hurricanes': 114, 'Melbourne Stars': 81}  (9.0s)
