batter_id,batter_name,mean_war,std_war,ci_lower,ci_upper,n_samples,significant,ci_width
d1c36f5c,JJ Roy,0.5861154291759952,0.34890198949336954,-0.011747817393112519,1.3760416309189767,1000,False,1.3877894483120892
5056011d,GJ Bailey,0.5585872676519539,0.3265688165887095,-0.02249904413946578,1.267893138849286,1000,False,1.2903921829887517
89f64c19,LMP Simmons,0.5499747137084382,0.39717800287999666,-0.15844643169986833,1.379621428525967,1000,False,1.5380678602258353
e94915e6,SM Curran,0.5402453578239205,0.3787546035307495,-0.05165061916989738,1.3957680728744732,1000,False,1.4474186920443706
b0482a1d,Tilak Varma,0.5252561112037184,0.3460952890796043,-0.04515179959845304,1.2757087964056952,1000,False,1.3208605960041482
2e8994e7,JP Duminy,0.5199622886328128,0.2981609278204262,-0.030093750554044212,1.1161059747526734,1000,False,1.1461997253067175
90de905a,K Gowtham,0.4991564559482752,0.2921430547807913,0.027867521237657907,1.1726322478780662,1000,True,1.1447647266404082
39a2dfa8,R Tewatia,0.4945829791173836,0.4068208239386325,-0.23858957707694398,1.3416211410272318,1000,False,1.5802107181041758
04a418e8,R Parag,0.48879452861969747,0.3641292527181303,-0.11818878487321055,1.2932145432957094,1000,False,1.41140332816892
e342e5fb,CR Brathwaite,0.46597963516554564,0.294194326807754,0.008775557221712174,1.1212846454083025,1000,True,1.1125090881865904
f986ca1a,HV Patel,0.4539174430425597,0.2983116856050634,-0.05924912926779382,1.0934887228912433,1000,False,1.1527378521590372
6c882e9a,PBB Rajapaksa,0.45291533261965156,0.2686915253479916,0.0028703610700129695,1.0487566581676167,1000,True,1.0458862970976037
3241e3fd,N Pooran,0.45135109688294034,0.46680339742937704,-0.4257926723476442,1.3633492276436698,1000,False,1.789141899991314
d2a6c0e6,EJG Morgan,0.4491702628257613,0.3414225184275591,-0.1562621025338392,1.1804312074423324,1000,False,1.3366933099761718
df5a6881,DP Conway,0.43784728240131887,0.31907782299885323,-0.05727166322586561,1.1264724083054203,1000,False,1.183744071531286
94d7f855,C de Grandhomme,0.4294276854477424,0.33243907431374314,-0.17227058744771098,1.136509570921419,1000,False,1.30878015836913
0a509d6b,RK Singh,0.4025011553037971,0.27978038570127983,-0.06529667279755036,1.0112079479652698,1000,False,1.0765046207628202
26e5cabf,MK Tiwary,0.3818821603806191,0.260563041098497,-0.08591602079285234,0.9443781639765048,1000,False,1.0302941847693572
99d63244,KM Jadhav,0.3812673517870833,0.5018007315517407,-0.5167013530676368,1.4218982148564747,1000,False,1.9385995679241115
62af8546,Mohammad Nabi,0.3802354423401643,0.18825047078792506,0.049020493171573844,0.7719921042932566,1000,True,0.7229716111216827
1c2a64cd,A Ashish Reddy,0.37246079031477897,0.2128686649426918,0.030850679358269777,0.8383481679860537,1000,True,0.8074974886277839
844e79d1,D Brevis,0.3722836018898115,0.30261124801487316,-0.11200524514181423,1.0717237193438378,998,False,1.1837289644856521
af2c687b,C Munro,0.3637010399079771,0.2847048362820229,-0.11405812584285972,0.981498622733933,1000,False,1.0955567485767927
1e66c162,JD Unadkat,0.3634875497566809,0.18642085350445187,0.04480822796850851,0.77404556167712,1000,True,0.7292373337086115
709b0bac,SS Tiwary,0.35493413580443967,0.1982375634643658,0.009282414312948845,0.7746020455938983,1000,True,0.7653196312809495
1abb78f8,SN Thakur,0.3499235384105072,0.2691383487010527,-0.12633754851121562,0.8836626808726158,1000,False,1.0100002293838315
3d8feaf8,MR Marsh,0.34922311707442594,0.3404343313829095,-0.2937640094070014,1.065662392349263,1000,False,1.3594264017562643
0f12f9df,NLTC Perera,0.3329475509104113,0.20823836246091723,0.006942980225096398,0.778314679915938,1000,True,0.7713716996908415
44a89551,KS Bharat,0.3284661479522901,0.2289527290295598,-0.03495641109780846,0.823149027233112,1000,False,0.8581054383309205
8b5b6769,Harbhajan Singh,0.32801258019568647,0.4157877157752339,-0.37078052508954,1.2185462566226313,1000,False,1.5893267817121712
7dcb9bc9,M Shahrukh Khan,0.3235783018641714,0.2763463987003425,-0.17639445809742704,0.8674004357091949,1000,False,1.043794893806622
bd17b45f,STR Binny,0.3204064524170346,0.3314107942040733,-0.2668247034019794,1.0100400316910985,1000,False,1.2768647350930777
0994d0ae,V Shankar,0.2984616507830619,0.3619512669070247,-0.36100753865568935,1.0482497139273612,1000,False,1.4092572525830507
f62772e5,P Negi,0.29279430905121623,0.34245369689638316,-0.3044850057267637,1.0426952002176773,1000,False,1.3471802059444409
f9e6e7ef,Shahbaz Ahmed,0.2898487292716974,0.24387109826311548,-0.15421167953196724,0.8074331226252159,1000,False,0.9616448021571832
c3d35165,JA Morkel,0.27543619413224757,0.20887996560376199,-0.007358105614103063,0.7260643805342483,989,False,0.7334224861483514
331ea488,UT Khawaja,0.2619848529522101,0.127261172598995,0.04312893214786962,0.5220411279877583,998,True,0.47891219583988864
0f721006,JO Holder,0.2604731172820538,0.25654993280918653,-0.15057241394731058,0.8274910202060056,1000,False,0.9780634341533162
c18496e1,Bipul Sharma,0.24954464838530194,0.1956720306403379,-0.04604332793881507,0.69454738061063,999,False,0.7405907085494451
cc1e8c68,UT Yadav,0.24222221392688315,0.19952382801737426,-0.1000779658774335,0.6606862921120398,1000,False,0.7607642579894733
6eb146d2,Gurkeerat Singh,0.24182891284241545,0.2568470644568561,-0.18631364780755344,0.7990194768683495,1000,False,0.985333124675903
92aeac25,AD Hales,0.24156530704580342,0.15422697289136414,-0.02215650487693284,0.5661186555815313,998,False,0.5882751604584642
12b610c2,TM Head,0.24083593862251454,0.26217656122377714,-0.187023866171397,0.8077155871278169,1000,False,0.9947394532992139
119678fd,KV Sharma,0.2325731902294414,0.23937088450505428,-0.21578598756676762,0.7261308551035093,1000,False,0.9419168426702769
d9273ee7,MP Stoinis,0.23168112399960394,0.4040315468916718,-0.522244245771312,1.105932819276747,1000,False,1.628177065048059
aa8d28ae,D Wiese,0.23003794517033563,0.18463723701043952,-0.011833615961950353,0.6508956645266609,1000,False,0.6627292804886112
8e514b4c,Abdul Samad,0.21889337916362026,0.19256327423513003,-0.12024025689947675,0.6363641596664673,1000,False,0.756604416565944
23eeb873,DL Chahar,0.2154751208974878,0.18122344276567834,-0.06945757920603078,0.6254185157651078,999,False,0.6948760949711386
0890552f,A Manohar,0.21531037281871288,0.18212416792057956,-0.09627300419931065,0.6100167470563389,1000,False,0.7062897512556495
13c35c9e,TG Southee,0.19155557761802539,0.1998223044330955,-0.1343227459043669,0.6564261447515971,1000,False,0.790748890655964
da934ee8,MK Lomror,0.1773768873335102,0.27867822987698554,-0.29877796687016717,0.7658483891174799,1000,False,1.064626355987647
68c56d09,KA Jamieson,0.17375627381355785,0.11170145614345707,-0.009326782330480978,0.4208193046902263,998,False,0.4301460870207073
7a8bd078,S Gopal,0.17069717106512866,0.19016947777444512,-0.18224026978646046,0.5845664568002062,1000,False,0.7668067265866667
5574750c,JC Archer,0.17050615342170006,0.1995648670175359,-0.14716647895229967,0.6085348260992981,1000,False,0.7557013050515977
1a156c88,DJM Short,0.15787463986676653,0.19934044824519775,-0.15364727820239288,0.5868566975546042,999,False,0.7405039757569971
26989d80,Shashank Singh,0.15647835153263875,0.2063422040669665,-0.10543082921550011,0.5985724147762237,995,False,0.7040032439917238
4ec07775,RN ten Doeschate,0.15301531870090113,0.12231037851477,-0.01566313720279152,0.4250986725653205,995,False,0.440761809768112
c5aef772,R Shepherd,0.14755514830006633,0.13649615997766293,-0.07712914137874241,0.4653665369265598,955,False,0.5424956783053022
afa7e784,MS Wade,0.14631955176761977,0.08493144872199232,0.0037511045183292245,0.32763336357250283,1000,True,0.3238822590541736
9385de2e,SS Prabhudessai,0.1448307300572597,0.1768322661323583,-0.09824960413170747,0.5815817369851299,991,False,0.6798313411168374
51a3c5ef,MJ McClenaghan,0.14447923577512103,0.1586427400270256,-0.1176721797775926,0.4902300318703239,1000,False,0.6079022116479165
4125d931,J Suchith,0.14288251333339644,0.1684519935547026,-0.1439163089745858,0.5179788153371886,1000,False,0.6618951243117743
2ed569a0,RD Chahar,0.14284329042227517,0.11333085749294597,-0.054321016320120166,0.3885043736545389,1000,False,0.44282538997465903
7c503806,J Botha,0.14081314582570667,0.12663494306914055,-0.05663005538368586,0.42049205803167033,952,False,0.4771221134153562
bb965e9a,PK Garg,0.1392057790890608,0.15801640213515886,-0.11030033462337359,0.5019110948155326,998,False,0.6122114294389063
808f425a,JP Faulkner,0.13558457280915312,0.20984508390729337,-0.26457553001464035,0.5519532919082466,1000,False,0.816528821922887
1c914163,Yuvraj Singh,0.1307994574036722,0.4653551177223175,-0.7688136785518411,1.0891385836504328,1000,False,1.857952262202274
11614d87,D Pretorius,0.1278091079340711,0.08928548577430427,-0.014852040111553637,0.32352755267203825,994,False,0.33837959278359186
e62dd25d,K Rabada,0.12479685716043713,0.16905146147170128,-0.17182117179633014,0.5105615453481475,1000,False,0.6823827171444776
26a85969,R Dhawan,0.12182944400760236,0.1250653712847723,-0.09703396337452895,0.3843166369053415,1000,False,0.4813506002798705
541f85c9,SP Goswami,0.11967849912511584,0.08119481618330654,0.004737375923175801,0.3108861384870855,943,True,0.3061487625639097
33a364a6,R Bhatia,0.11594712638690353,0.10640358946255975,-0.05263772318133146,0.35382011481588704,1000,False,0.4064578379972185
d5130a30,B Sai Sudharsan,0.11101831823576234,0.13661485132966486,-0.10756552323780907,0.41798259871409044,995,False,0.5255481219518995
eef2536f,Avesh Khan,0.11089125290463746,0.09117531357907296,-0.04553115528220913,0.31143891931410295,997,False,0.3569700745963121
759ac88f,MM Sharma,0.1057139732908713,0.1778629106770542,-0.19915276212426283,0.5027352070033897,1000,False,0.7018879691276525
b274dbbd,ER Dwivedi,0.1003034710536433,0.09186206109257682,-0.006064147521658309,0.27462055669262647,862,False,0.28068470421428476
7dc35884,Shakib Al Hasan,0.09440371821403538,0.2600311011254868,-0.36922949143181866,0.6318425235706301,1000,False,1.0010720150024488
8abdf100,CJ Anderson,0.09431382475524087,0.285572755156441,-0.43091742120659515,0.6998094371083325,1000,False,1.1307268583149277
48fd7349,MEK Hussey,0.0917445325815704,0.14485581857392565,-0.1404609805179279,0.43459724549706097,987,False,0.5750582260149889
ffe699c0,CJ Jordan,0.08727040655979522,0.13511779104116328,-0.09866926895053073,0.39239304954978116,996,False,0.4910623185003119
dc9dd038,Sachin Baby,0.0863810075828054,0.16586799873883523,-0.2304699548793538,0.4346549593273451,1000,False,0.6651249142066988
8cf9814c,Mohammed Shami,0.08419486740209806,0.1483481556406558,-0.15392954730476696,0.41879780826457014,1000,False,0.5727273555693371
24d94623,Ankit Sharma,0.07953438243606113,0.0662186816943743,-0.017162173717946386,0.23515918779800649,985,False,0.25232136151595286
2f9d0389,LH Ferguson,0.07497245338067865,0.07364882965821246,-0.02841279046090268,0.24313155828001995,976,False,0.27154434874092265
327b58d3,PVD Chameera,0.07408442573119535,0.10599063982389055,-0.11145803852452861,0.2776926700446831,998,False,0.38915070856921175
9a0146b3,P Sahu,0.07301449981706064,0.06541621553774053,-0.0017432622203936087,0.25090884506266087,869,False,0.2526521072830545
f19ccfad,Washington Sundar,0.07188908120892656,0.3169594816253372,-0.43942987221880647,0.7595055705006765,1000,False,1.198935442719483
fe93fd9d,RA Jadeja,0.06821702101602653,0.610149462031704,-1.1052868793552695,1.2044312779610853,1000,False,2.3097181573163548
85aae393,Iqbal Abdulla,0.06673108047931851,0.11130774706194953,-0.11317802321619473,0.31959760016376076,993,False,0.4327756233799555
8ba8195d,V Sehwag,0.06664222958674597,0.1438390517438074,-0.1561542057161083,0.3787599628301366,1000,False,0.5349141685462449
8fd1a8f5,DW Steyn,0.06634377339517598,0.09448720043581248,-0.052902678787495355,0.27501842962353445,979,False,0.32792110841102984
5afd4539,MS Bisla,0.06060641369867511,0.033490062239500525,0.025182226703323183,0.13460328845414443,873,True,0.10942106175082125
5bb1a1c4,I Sharma,0.060018200753143576,0.0871745932849759,-0.07785599533034769,0.2478665034666497,979,False,0.3257224987969974
18e6906e,A Choudhary,0.05872893403675887,0.04872910797961584,-0.022933004930823033,0.1713825956515028,952,False,0.19431560058232583
2e81a32d,B Kumar,0.05826695555967025,0.1919184585720876,-0.29346050132092116,0.4740967794525047,1000,False,0.7675572807734259
e4a0deae,MJ Santner,0.058162086099451726,0.10019952671305254,-0.12493820745905172,0.25667368885263075,994,False,0.38161189631168246
d014d5ac,SE Rutherford,0.057902325588110704,0.18521281823573846,-0.2722617417569721,0.4503072527457493,999,False,0.7225689945027214
a9da7784,KJ Abbott,0.0574748668475996,0.05862333960970846,-0.017055951607414074,0.18278507542205857,950,False,0.19984102702947265
81049310,J Yadav,0.05641135688783927,0.10321585161498183,-0.1317473266380352,0.2851659260841256,990,False,0.41691325272216084
d2a989fc,DS Kulkarni,0.053642587464823636,0.08600068175517596,-0.11084829507122125,0.2417540984602001,1000,False,0.35260239353142137
a818c1be,TA Boult,0.05191699656219266,0.10118091217086161,-0.12836028577911465,0.28059814274155076,1000,False,0.40895842852066544
6834d1f2,B Stanlake,0.05089978351044816,0.025978559159246174,0.031767960595753285,0.12707184238301314,626,True,0.09530388178725985
529eb9e0,OC McCoy,0.04957622918680565,0.025217276174903377,0.032008676501991636,0.12803470600796651,645,True,0.09602602950597489
2af1b6d2,AN Ahmed,0.04745064010904403,0.032631618105038465,-0.004474582577989793,0.12338333278154164,948,False,0.12785791535953142
896d78ad,AD Mathews,0.04254845179331807,0.11792150568289626,-0.19521262821370447,0.2637212693865322,1000,False,0.4589338976002366
7c7d63a2,AJ Tye,0.04245473512090995,0.1990492857779925,-0.30543530026540205,0.5028005759222016,1000,False,0.8082358761876036
c33d8116,Mohsin Khan,0.03928256130182793,0.07593233549979037,-0.07892636200473449,0.20553714784646715,942,False,0.2844635098512016
cad00a4d,RR Rossouw,0.03921206519078198,0.044172478923080336,-0.029249334604452334,0.12836130199549373,873,False,0.15761063659994606
edb3d4f8,KC Cariappa,0.03916350484313627,0.09208788227268654,-0.1193511368316287,0.22641135824071837,990,False,0.3457624950723471
663b5e34,PN Mankad,0.03884858674895507,0.020507237087104307,0.02446299628453969,0.09785198513815876,653,True,0.07338898885361908
9a46c4e5,GD Phillips,0.03806559867217083,0.06723846524664112,-0.08429626872726736,0.1800072581915242,954,False,0.26430352691879155
be24ead0,Ramandeep Singh,0.03754057489476294,0.10290317755629466,-0.14653103398861103,0.2442894908102361,982,False,0.3908205247988471
872b03f7,A Badoni,0.03545067433536946,0.1628499956155878,-0.2601424124455729,0.37216841213005564,1000,False,0.6323108245756286
9601c534,SD Lad,0.030759904444473157,0.015414097544260083,0.019501182138098032,0.07215437391096138,653,True,0.05265319177286335
378daa89,Aman Hakim Khan,0.026317688690679714,0.01361141575058598,0.016673154180541064,0.06669261672216426,631,True,0.05001946254162319
b8527c3d,Rasikh Salam,0.025904714098020424,0.015357655908840081,0.009506597650216672,0.06329216516744944,871,True,0.05378556751723277
441c72ae,P Ray Barman,0.025699682833587523,0.012644941562534418,0.015987009731440675,0.0639480389257627,637,True,0.047961029194322026
