bowler_id,bowler_name,mean_war,std_war,ci_lower,ci_upper,n_samples,significant,ci_width
a2f46292,KK Ahmed,1.5567784427447526,0.46382725334135044,0.7003413177477436,2.4942536923104046,1000,True,1.793912374562661
32198ae0,MC Henriques,1.5426243106006794,0.528334718346734,0.5481187702575555,2.6700742647264812,1000,True,2.1219554944689256
df064e1a,Ravi Bishnoi,1.4487268645359666,0.44357522739586247,0.5656419751146042,2.3339914817951275,1000,True,1.7683495066805233
d2a989fc,DS Kulkarni,1.4412110788601,0.537067573108893,0.390583660033754,2.549589498306012,1000,True,2.1590058382722583
759ac88f,MM Sharma,1.435705735330152,0.6750562449823821,0.125658300572663,2.7971920378013966,1000,True,2.6715337372287338
2cdce1be,C Sakariya,1.4076328671671676,0.4574925788154235,0.595531888235658,2.3180730920339605,1000,True,1.7225412037983026
1abb78f8,SN Thakur,1.3591523271929011,0.6867635285880311,0.062329468048926605,2.793381297566618,1000,True,2.7310518295176913
96fd40ae,A Nehra,1.3444309638981553,0.5519443244897035,0.30689522669715197,2.415241902573823,1000,True,2.108346675876671
2f9d0389,LH Ferguson,1.3437060856743308,0.5230506165358806,0.29300509264651253,2.3714674068999795,1000,True,2.078462314253467
0f721006,JO Holder,1.337901263191086,0.4831374334864535,0.44169688743285335,2.273466862406842,1000,True,1.8317699749739886
7a8bd078,S Gopal,1.276520887633297,0.5921614266222768,0.2101843206241542,2.441506770155324,1000,True,2.2313224495311696
e938e1bc,P Kumar,1.269177167264484,0.48374897822095553,0.34238832334639907,2.2229963716199315,1000,True,1.8806080482735323
2a2e6343,DT Christian,1.145800459232741,0.4393817934141553,0.3916704916744041,2.0822229528450604,1000,True,1.6905524611706564
a97c8ec2,PWH de Silva,1.0919215586526483,0.44172005140087217,0.323466236533221,2.0821538146105776,1000,True,1.7586875780773565
b681e71e,GJ Maxwell,1.0658031312758873,0.4282420383595474,0.2844657642383184,1.921037704366448,1000,True,1.6365719401281296
f62772e5,P Negi,1.01461280123484,0.47453187023383636,0.1316174646508308,1.921221180504635,1000,True,1.7896037158538043
33a364a6,R Bhatia,1.0123617652884918,0.36378435453417046,0.3913088223827988,1.7778312067565916,1000,True,1.3865223843737928
957532de,S Aravind,0.9990026960675834,0.4495479580982079,0.13245302899170566,1.9095965146488276,1000,True,1.777143485657122
c33d8116,Mohsin Khan,0.967624806808844,0.3876513616122272,0.2852702899734982,1.7914822928569334,1000,True,1.5062120028834352
ded9240e,PJ Cummins,0.9600118249416946,0.4555632092815018,0.11804419793149724,1.9167240327477912,1000,True,1.798679834816294
acdc62f5,A Nortje,0.959592917196966,0.3500196063213443,0.3503371120669651,1.6877285050762338,1000,True,1.3373913930092687
3fb19989,MA Starc,0.9479871689736125,0.33263215389206685,0.3976193790054504,1.6891102053512255,1000,True,1.291490826345775
db31895a,AS Rajpoot,0.9222137462154255,0.4333111171194096,0.11439525618681953,1.7732415129331651,1000,True,1.6588462567463456
f5180fe6,MG Johnson,0.9206704154164036,0.39489545677881144,0.15581047420621405,1.709547700577058,1000,True,1.553737226370844
7d92277a,Mujeeb Ur Rahman,0.9179567602294785,0.42594747596791704,0.11398250664374583,1.7305644729259988,1000,True,1.616581966282253
f834dcfc,L Ngidi,0.9004949457321837,0.47924940978017677,0.018192753371029543,1.9246223414449963,1000,True,1.9064295880739668
81c08fa3,Umran Malik,0.8695765721604801,0.43883775598617614,0.04884199267384983,1.7809994603538877,1000,True,1.7321574676800378
7dc35884,Shakib Al Hasan,0.8654150517852088,0.43814135253345865,0.050918383408266,1.7571480880447514,1000,True,1.7062297046364854
5bb5a915,M Morkel,0.8466824711690843,0.30081957434812523,0.32487651529207445,1.4796913802102323,1000,True,1.1548148649181578
c38d3503,Shivam Mavi,0.8197902905793842,0.5332544440933661,-0.21244141023328653,1.8890747343550713,1000,False,2.101516144588358
4c5d73db,CR Woakes,0.8197308520818201,0.3875285773519737,0.16356342465534962,1.6973423152843816,1000,True,1.533778890629032
0a3d54b9,VR Aaron,0.7978019394037109,0.39413971222884975,0.07685200888657216,1.6060753572804027,1000,True,1.5292233483938307
39a2dfa8,R Tewatia,0.7971089428981258,0.4568229649929208,0.006826289101789465,1.7610196110972298,1000,True,1.7541933219954404
03806cf8,JR Hazlewood,0.7903526848983176,0.4404187400607561,-0.03989489697318413,1.6832081236564893,1000,False,1.7231030206296734
1e66c162,JD Unadkat,0.7500537019864115,0.6433350446597674,-0.4671622602700713,2.055831526714204,1000,False,2.5229937869842756
bd17b45f,STR Binny,0.7434537886912214,0.23966757550250206,0.25982027402845453,1.218678649180988,1000,True,0.9588583751525335
21d4e29b,Navdeep Saini,0.7187753336038827,0.431217202586756,-0.049879693250135124,1.631589424647685,1000,False,1.68146911789782
f19ccfad,Washington Sundar,0.7154312244093909,0.42890933662798314,-0.08911075706419942,1.568017277898455,1000,False,1.6571280349626543
64775749,RP Meredith,0.708348489346766,0.40636482574210675,-0.019067392280660376,1.5352859383752346,1000,False,1.554353330655895
e4a0deae,MJ Santner,0.7019344163979072,0.3973602112024924,0.02720962328779657,1.5997464712624725,1000,True,1.572536847974676
75224f22,KMA Paul,0.6930852479883084,0.4673191231959435,-0.10271380795006137,1.7343373594533698,1000,False,1.837051167403431
ce794613,T Natarajan,0.6789695186993093,0.325692791019151,0.037971506164937864,1.3900463302313775,1000,True,1.3520748240664395
81049310,J Yadav,0.6766901938416934,0.31092028353144896,0.11708428813813912,1.3445564292322372,1000,True,1.227472141094098
caf69bf7,DR Sams,0.6717277036712345,0.46420444179265624,-0.18597143022707233,1.5715942064732018,1000,False,1.757565636700274
69be866a,Anureet Singh,0.6571579279905582,0.46726190633511966,-0.23321771527284274,1.5972129511482838,1000,False,1.8304306664211265
5bb1a1c4,I Sharma,0.6516940916201241,0.45762432157560873,-0.23245911674223205,1.587807255675791,1000,False,1.820266372418023
529eb9e0,OC McCoy,0.5892469401097555,0.4260847976748377,-0.15361549223784965,1.5398012374170302,1000,False,1.6934167296548799
26a85969,R Dhawan,0.5838467946883851,0.2800463646975334,0.07712055665428715,1.194008015232078,1000,True,1.1168874585777908
94d7f855,C de Grandhomme,0.5781664143549731,0.33955543068579636,-0.04192562328109222,1.3224479280557515,1000,False,1.3643735513368438
641ac5ff,IS Sodhi,0.5650323423818612,0.27177130028230573,0.09500522809327666,1.1728221697874464,998,True,1.0778169416941696
5d2eea49,Kartik Tyagi,0.5620423644976901,0.2547732922633761,0.13809852419085827,1.0934109243196115,997,True,0.9553124001287532
e342e5fb,CR Brathwaite,0.5561899224400692,0.2625208080353405,0.0744556793776803,1.11900793517714,1000,True,1.0445522557994598
64839cb3,M Pathirana,0.5175815737082737,0.28635012583278885,0.18845056165304436,1.1957500822964717,871,True,1.0072995206434274
ffe699c0,CJ Jordan,0.5102018599940141,0.4275816951541637,-0.30391996221769807,1.3582988418401902,1000,False,1.6622188040578882
119678fd,KV Sharma,0.5073130455211455,0.5218143151319241,-0.49122969866355026,1.5246746575876038,1000,False,2.015904356251154
14f96089,A Zampa,0.5068418063164407,0.2655350479070001,0.04349252063333143,1.0705171175836183,1000,True,1.027024596950287
7ca5e05d,RS Bopara,0.49804967117454274,0.2910322211459009,0.028614009780723173,1.121077380926455,999,True,1.0924633711457317
3d8feaf8,MR Marsh,0.48480116429772413,0.2242949715700529,0.10972737229389373,0.9640257738986129,1000,True,0.8542984016047191
85aae393,Iqbal Abdulla,0.4737927871629896,0.25710932857318664,0.006940269665592975,1.0099726373554956,1000,True,1.0030323676899027
aa8d28ae,D Wiese,0.46526744672847925,0.22545815130100036,0.05519932813435942,0.9501018164333174,1000,True,0.8949024882989579
f708a0bc,GB Hogg,0.4614837891584426,0.34729736195485233,-0.18236056186481595,1.2071964398774135,1000,False,1.3895570017422294
c05edf8e,Harpreet Brar,0.4395013383062798,0.2570019027144247,-0.051353565118547294,0.9608671522783626,1000,False,1.01222071739691
896d78ad,AD Mathews,0.4316126231405782,0.24002538573383161,-0.0012362214126041674,0.9170831179244355,1000,False,0.9183193393370397
6aed7e79,PV Tambe,0.4310949185925195,0.2853235408703237,-0.12464532904675135,1.0034546303826786,1000,False,1.1280999594294299
0994d0ae,V Shankar,0.4233214398477666,0.2645972970491142,-0.029659377882036674,0.99499645215939,1000,False,1.0246558300414268
f24c6701,M Theekshana,0.41696760809420214,0.2136884042959574,0.06319536146903705,0.890924809692401,1000,True,0.8277294482233639
7210d461,Yash Dayal,0.389622675263915,0.26377708111446896,-0.07241010432409477,0.9488187105740802,999,False,1.021228814898175
62af8546,Mohammad Nabi,0.38740533958321743,0.34103780257879096,-0.22277099405611336,1.1126992937620719,1000,False,1.3354702878181852
81c36ee9,M Jansen,0.37730261642420343,0.3131149200052633,-0.23688952026668006,1.0085025315246003,1000,False,1.2453920517912804
ad427b5c,Lalit Yadav,0.370564211211985,0.28392964063693954,-0.14356849732362648,0.9310600812959527,1000,False,1.0746285786195793
808f425a,JP Faulkner,0.36690633749863666,0.3624165437828483,-0.29515092643960233,1.058118242854108,1000,False,1.3532691692937104
a9fd84fb,M Markande,0.34684209497347634,0.28206202215842,-0.20388508517474258,0.9015507321660107,1000,False,1.1054358173407532
a757b0d8,KA Pollard,0.3451631114440358,0.3125095273263103,-0.30039364872348956,0.9600899004048306,1000,False,1.2604835491283202
871e9faf,Basil Thampi,0.3427513152627561,0.47641287045468517,-0.7037090316191164,1.198393375590629,1000,False,1.9021024072097454
c7a995d3,R Sai Kishore,0.33804607921411445,0.2636176645849451,-0.06323513849195385,0.9237754393418143,991,False,0.9870105778337681
b0946605,AS Joseph,0.3331475301682682,0.3780596009319116,-0.4710110643918501,1.03594527805082,1000,False,1.5069563424426702
e412cb64,HF Gurney,0.3310251198250426,0.24970182076152497,-0.05655417126825663,0.8799018799186729,1000,False,0.9364560511869295
73ad96ed,DJ Hooda,0.3301905070727706,0.44554395391930757,-0.5093611821474511,1.2545985747387849,1000,False,1.763959756886236
fb2d1dda,N Rana,0.31974019683128624,0.17420455765244905,0.019145425269604884,0.6885779866843319,1000,True,0.6694325614147271
db584dad,CH Gayle,0.31811886817472707,0.18139970424541063,0.01856729933427049,0.7285773363998478,993,True,0.7100100370655773
d8b2f218,BB Sran,0.30770349448887957,0.39853171031084306,-0.45783427730835874,1.0933775187543988,1000,False,1.5512117960627576
012829ff,JW Hastings,0.2936579594163022,0.16476753213756803,0.11049541897146554,0.6875156106076467,867,True,0.5770201916361811
11614d87,D Pretorius,0.2916313685056078,0.3193854508634757,-0.23707963467293847,1.0271557699177996,998,False,1.264235404590738
1da489ff,S Kaushik,0.28470807124948055,0.3822224361058757,-0.4468989770836074,1.0263040283089682,1000,False,1.4732030053925755
c695b423,PH Solanki,0.27751516568817625,0.23756460562000795,-0.007354575264973713,0.7298177785026467,871,False,0.7371723537676205
24d94623,Ankit Sharma,0.27648123493498217,0.2304826393384781,-0.12005254016787348,0.7728927152052425,999,False,0.892945255373116
76388dc8,S Badree,0.2687331099169417,0.26075217434259423,-0.18920452443802305,0.8246558362556643,999,False,1.0138603606936873
6834d1f2,B Stanlake,0.26258976306695,0.1872105809956713,-0.06441854832022116,0.6759757670046215,997,False,0.7403943153248427
30df8c66,Simarjeet Singh,0.26230121190783157,0.17632199262038797,-0.03613762950548503,0.635230034077346,998,False,0.6713676635828311
18e6906e,A Choudhary,0.25990606230130303,0.20352840313700918,-0.056571809069014614,0.7081196914575134,994,False,0.764691500526528
2e8994e7,JP Duminy,0.25811030821664466,0.22163174763197813,-0.1643196905960726,0.7112660867484968,1000,False,0.8755857773445694
f18ba07f,Ankit Soni,0.24552434926571426,0.31890867729772043,-0.3112952529469854,0.931285714300652,997,False,1.2425809672476373
e0407c01,IC Pandey,0.2453927961288368,0.15503149327360874,0.026698098587711386,0.6252449607960902,1000,True,0.5985468622083787
9a0146b3,P Sahu,0.24429371366858857,0.2185500543951308,-0.08475177843523475,0.7408743213668799,993,False,0.8256260998021147
1dc12ab9,SK Raina,0.24349763541937383,0.2661082625505654,-0.28632998769137474,0.7919686489701143,1000,False,1.078298636661489
9a963804,LE Plunkett,0.2420175831126466,0.3876113265292838,-0.5453509209873784,0.9579406023754307,999,False,1.503291523362809
6eb146d2,Gurkeerat Singh,0.2299800706711076,0.15365517021889707,0.024044234518006108,0.6040392194527424,998,True,0.5799949849347363
41eb4a4f,R Vinay Kumar,0.22655187753940254,0.3535441430044232,-0.4517464599550429,0.9187558633744567,1000,False,1.3705023233294997
a316d663,GC Viljoen,0.2261797227758557,0.19855486167721634,-0.1463652847385518,0.6332084180166689,998,False,0.7795737027552208
90de905a,K Gowtham,0.22565631933100172,0.45871420557844006,-0.6694371574135821,1.1513232388412027,1000,False,1.820760396254785
b822e99c,NB Singh,0.21640169386824037,0.11550968512548607,0.08083786516915044,0.4735154838535101,854,True,0.3926776186843597
765a4731,Mukesh Choudhary,0.21451535732844265,0.27995198918268893,-0.3111602032403855,0.763668024760148,1000,False,1.0748282280005335
e94915e6,SM Curran,0.2109454116594465,0.4239029790266332,-0.6055577950219256,1.0133883029527189,1000,False,1.6189460979746446
d014d5ac,SE Rutherford,0.2069962490302219,0.10247617459154384,0.03789838481806828,0.43365723493637215,998,True,0.39575885011830386
cdc6bdba,S Sandeep Warrier,0.20403241791518667,0.1549342538559592,-0.01731126239313032,0.5694753600047452,979,False,0.5867866223978755
d167edd3,SM Boland,0.20369833854090336,0.1226422079448071,0.0560025461391645,0.5111577451272818,863,True,0.45515519898811735
