bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against,is_replacement
4c5d73db,CR Woakes,-14.0982,-0.0304,463,27.5922,False
8d92a2c3,MA Wood,-14.4863,-0.5795,25,14.5848,False
7f048519,DJ Willey,-14.6759,-0.1156,127,10.783,False
1da489ff,S Kaushik,-14.6878,-0.0699,210,-4.5932,False
e0407c01,IC Pandey,-15.0982,-0.0799,189,2.6976,False
4933f499,JP Behrendorff,-15.1278,-0.1293,117,14.6104,True
85aae393,Iqbal Abdulla,-15.5765,-0.0502,310,-8.3935,False
8d2c70ad,Kuldeep Yadav,-16.0137,-0.014,1144,-66.3274,False
c5aef772,R Shepherd,-16.0399,-0.2814,57,14.7733,False
6a26221c,AK Markram,-16.23,-0.2661,61,8.23,True
1a2676c5,SA Abbott,-16.4672,-0.2791,59,19.8221,False
b0946605,AS Joseph,-16.6728,-0.0695,240,18.1231,False
69be866a,Anureet Singh,-17.0789,-0.0431,396,7.8781,False
b2a79f17,B Laughlin,-17.1348,-0.1279,134,16.357,False
0c9652b0,HR Shokeen,-17.5195,-0.1864,94,8.3436,True
dcf81436,S Kaul,-17.7472,-0.0178,997,-17.9731,False
6f49cc6e,Shivam Sharma,-18.062,-1.0034,18,16.2398,False
6aed7e79,PV Tambe,-18.217,-0.0605,301,0.1644,False
1ee08e9a,JA Richardson,-18.6628,-0.2705,69,19.6622,True
ce794613,T Natarajan,-19.0021,-0.047,404,9.4351,False
b52ffbbd,FA Allen,-19.2316,-0.2113,91,3.1273,True
12b610c2,TM Head,-19.5766,-0.4078,48,16.1158,False
c8179c68,SB Jakati,-20.2012,-0.1303,155,10.9441,True
441c72ae,P Ray Barman,-20.7875,-0.8661,24,17.3193,False
99ed60f8,JPR Scantlebury-Searles,-20.9552,-0.4657,45,24.3135,False
9170ff49,Parvez Rasool,-20.9708,-0.184,114,9.4018,True
798cc28e,KM Asif,-21.656,-0.4165,52,22.0014,False
1dc12ab9,SK Raina,-22.2059,-0.1023,217,-6.6071,False
dfc4d8b5,KW Richardson,-22.2461,-0.2119,105,21.3334,True
c38d3503,Shivam Mavi,-22.2584,-0.0424,525,1.5311,False
f5180fe6,MG Johnson,-23.0059,-0.0412,558,16.969,False
ffe699c0,CJ Jordan,-23.1,-0.0629,367,26.8637,False
cc1e8c68,UT Yadav,-23.135,-0.0145,1599,60.0721,False
03806cf8,JR Hazlewood,-24.0282,-0.0477,504,4.1478,False
7c3b3b78,VG Arora,-24.3555,-0.2214,110,28.5377,True
13c35c9e,TG Southee,-24.8324,-0.0238,1044,17.288,False
2e78f685,KR Sen,-24.9806,-0.1591,157,24.3178,True
e84ac20c,MJ Henry,-25.5323,-0.8236,31,25.5159,False
0a3d54b9,VR Aaron,-25.6628,-0.0509,504,40.4954,False
1c914163,Yuvraj Singh,-25.8242,-0.2188,118,8.9505,True
a757b0d8,KA Pollard,-26.245,-0.0869,302,12.2575,False
3c6ffae8,YK Pathan,-26.3508,-0.1882,140,13.6521,True
39a2dfa8,R Tewatia,-26.5524,-0.052,511,-5.0491,False
50c6bc2b,LS Livingstone,-27.5509,-0.1837,150,14.2663,True
62af8546,Mohammad Nabi,-28.3147,-0.0888,319,-12.3333,False
a03bba42,T Shamsi,-28.5258,-0.2377,120,16.7244,True
c18496e1,Bipul Sharma,-28.8512,-0.1277,226,1.4594,False
35205dfc,DR Smith,-29.5736,-0.1429,207,36.5343,True
b410bd3d,S Lamichhane,-32.6736,-0.1549,211,25.697,True
8fd1a8f5,DW Steyn,-33.8127,-0.191,177,32.1108,True
8abdf100,CJ Anderson,-33.9032,-0.1687,201,37.3866,True
a9da7784,KJ Abbott,-33.9122,-0.3325,102,30.1297,True
e86754b2,TK Curran,-35.0424,-0.2577,136,31.7145,True
245c97cb,TS Mills,-35.1446,-0.1612,218,41.3047,True
c3d35165,JA Morkel,-35.4672,-0.3284,108,29.0455,True
1647bd37,Karanveer Singh,-36.1166,-0.4151,87,26.1186,True
ded9240e,PJ Cummins,-38.8441,-0.0598,650,-11.6449,False
327b58d3,PVD Chameera,-39.3061,-0.1414,278,26.7833,True
765a4731,Mukesh Choudhary,-40.1846,-0.1381,291,42.6794,True
a9fd84fb,M Markande,-40.4352,-0.1108,365,28.1201,False
73ad96ed,DJ Hooda,-41.6748,-0.1181,353,-5.2453,False
0a67aec0,Akash Deep,-41.7081,-0.3505,119,39.0222,True
66b30f71,AB Dinda,-41.7218,-0.1439,290,31.6677,True
68c56d09,KA Jamieson,-43.4333,-0.2426,179,30.2844,True
8b5b6769,Harbhajan Singh,-43.4334,-0.031,1403,-115.5144,False
