player_name,WAR,VORP,RAA,balls,auction_price_cr,team,role,war_per_crore,est_matches,war_per_match,war_per_cr_per_match,vorp_per_crore,price_bucket
Harshit Rana,0.3451906739073372,37.0631226574308,-28.126387546650847,276,4.0,Kolkata Knight Riders,Bowler,0.0862976684768343,12.545454545454545,0.02751519864478775,0.006878799661196937,9.2657806643577,Mid-tier (2-5 Cr)
Avesh Khan,0.3235284324137803,34.737247788267595,-34.70375221173241,294,9.75,Lucknow Super Giants,Bowler,0.03318240332449029,13.363636363636363,0.024209610588786283,0.00248303698346526,3.5627946449505226,Premium (5-10 Cr)
Prince Yadav,0.3176058479270479,34.10133989192713,0.0894215245801897,144,0.3,Lucknow Super Giants,Bowler,1.0586861597568262,6.545454545454546,0.0485231156555212,0.16174371885173733,113.67113297309045,Budget (<2 Cr)
Mukesh Kumar,0.3134294664727524,33.652921815179425,-26.57651696033078,255,8.0,Delhi Capitals,Bowler,0.03917868330909405,11.590909090909092,0.02704097357804138,0.0033801216972551727,4.206615226897428,Premium (5-10 Cr)
Arshad Khan,0.2541786431834419,27.291160918606167,-36.953573775271394,272,1.3,Gujarat Titans,Bowler,0.19552203321803224,12.363636363636363,0.02055856672807251,0.015814282098517315,20.993200706620126,Budget (<2 Cr)
Harpreet Brar,0.2520779012699991,27.06560425935981,-4.584375332476926,134,1.5,Punjab Kings,Bowler,0.16805193417999942,6.090909090909091,0.04138592408910433,0.027590616059402887,18.043736172906538,Budget (<2 Cr)
Akash Madhwal,0.2328088006285752,24.996680923490125,2.0858748010411423,97,1.2,Rajasthan Royals,Bowler,0.194007333857146,4.409090909090909,0.052801996018852104,0.04400166334904342,20.830567436241772,Budget (<2 Cr)
Zeeshan Ansari,0.2267545159576133,24.34663237836894,-25.017888029794324,209,0.4,Sunrisers Hyderabad,Bowler,0.5668862898940332,9.5,0.023868896416590873,0.059672241041477184,60.86658094592235,Budget (<2 Cr)
Naman Dhir,0.1496795329030758,16.07109144780325,10.40243838657876,24,5.25,Mumbai Indians,Bowler,0.028510387219633487,1.0909090909090908,0.13720623849448618,0.02613452161799737,3.061160275772048,Premium (5-10 Cr)
Washington Sundar,0.1441003041708314,15.47204965882217,-0.3529401370961978,67,3.2,Gujarat Titans,Bowler,0.045031345053384804,3.0454545454545454,0.04731651778743717,0.014786411808574117,4.835015518381928,Mid-tier (2-5 Cr)
Azmatullah Omarzai,0.1231856620141912,13.226444530463716,-26.690320775658737,169,2.4,Punjab Kings,Bowler,0.05132735917257967,7.681818181818182,0.01603600333912548,0.006681668057968951,5.511018554359882,Mid-tier (2-5 Cr)
Akash Singh,0.0724400164044841,7.7778845613494685,-8.0471052345689,67,0.3,Lucknow Super Giants,Bowler,0.24146672134828032,3.0454545454545454,0.023786274043263434,0.07928758014421144,25.926281871164896,Budget (<2 Cr)
Ashwani Kumar,0.0650075021726697,6.979855508279549,-24.197736328455147,132,0.3,Mumbai Indians,Bowler,0.21669167390889904,6.0,0.010834583695444952,0.03611527898481651,23.266185027598496,Budget (<2 Cr)
Shahbaz Ahmed,0.0546440663817446,5.867133407407927,-8.540693123204319,61,2.4,Lucknow Super Giants,Bowler,0.022768360992393585,2.772727272727273,0.019707696072104607,0.008211540030043587,2.444638919753303,Mid-tier (2-5 Cr)
Yash Thakur,0.028685706283967,3.079984283709547,-7.076352450984332,43,1.6,Punjab Kings,Bowler,0.017928566427479375,1.9545454545454546,0.014676407866215675,0.009172754916384796,1.9249901773184668,Budget (<2 Cr)
Abhishek Sharma,-0.0088175497191613,-0.9467403133463552,-16.771730109264723,67,14.0,Sunrisers Hyderabad,Bowler,-0.0006298249799400928,3.0454545454545454,-0.0028953148331574414,-0.00020680820236838868,-0.06762430809616823,Marquee (>10 Cr)
Akash Deep,-0.0126953864584562,-1.3631036440444504,-31.359726093024044,127,8.0,Lucknow Super Giants,Bowler,-0.001586923307307025,5.7727272727272725,-0.0021992008038270584,-0.0002749001004783823,-0.1703879555055563,Premium (5-10 Cr)
Shashank Singh,-0.0244879997389401,-2.6292765319700035,-5.463603062582249,12,5.5,Punjab Kings,Bowler,-0.0044523635888982,0.5454545454545454,-0.044894666188056855,-0.008162666579646701,-0.47805027854000065,Premium (5-10 Cr)
Ishan Kishan,-0.0256888930251594,-2.7582164441113672,-2.9944103216623876,1,11.25,Sunrisers Hyderabad,Bowler,-0.0022834571577919466,0.045454545454545456,-0.5651556465535068,-0.050236057471422825,-0.24517479503212153,Marquee (>10 Cr)
Abdul Samad,-0.0287701434670475,-3.0890503040568995,-3.5614380591589403,2,4.2,Lucknow Super Giants,Bowler,-0.006850034158820833,0.09090909090909091,-0.31647157813752247,-0.07535037574702916,-0.7354881676325951,Mid-tier (2-5 Cr)
Harsh Dubey,-0.0302175918834036,-3.2444628405210505,-17.652289371133296,61,0.3,Sunrisers Hyderabad,Bowler,-0.100725306278012,2.772727272727273,-0.010898147892375068,-0.03632715964125023,-10.814876135070168,Budget (<2 Cr)
T Natarajan,-0.0417403882691899,-4.481665488462929,-10.38651242723844,25,10.75,Delhi Capitals,Bowler,-0.0038828268157385954,1.1363636363636365,-0.03673154167688711,-0.0034168875978499635,-0.4168991152058539,Marquee (>10 Cr)
Suryansh Shedge,-0.0747180943961648,-8.022481795316214,-12.510165468785605,19,0.3,Punjab Kings,Bowler,-0.24906031465388265,0.8636363636363636,-0.08651568824819081,-0.2883856274939694,-26.74160598438738,Budget (<2 Cr)
Musheer Khan,-0.0792792401971374,-8.512212019966649,-11.346538550578892,12,0.3,Punjab Kings,Bowler,-0.264264133990458,0.5454545454545454,-0.14534527369475192,-0.4844842456491731,-28.374040066555498,Budget (<2 Cr)
Yudhvir Singh,-0.0812649866405143,-8.725421615592023,-25.49518692171447,71,0.35,Rajasthan Royals,Bowler,-0.23218567611575516,3.227272727272727,-0.025180700085793168,-0.07194485738798048,-24.92977604454864,Budget (<2 Cr)
Ravi Bishnoi,-0.1105832187111678,-11.873320193018095,-66.90649366240585,233,11.0,Lucknow Super Giants,Bowler,-0.010053019882833436,10.590909090909092,-0.010441333955560907,-0.0009492121777782643,-1.0793927448198268,Marquee (>10 Cr)
Mukesh Choudhary,-0.1416376544468,-15.20763495795292,-23.710614549789657,36,0.3,Chennai Super Kings,Bowler,-0.4721255148226666,1.6363636363636365,-0.08655634438415555,-0.2885211479471852,-50.692116526509736,Budget (<2 Cr)
Karim Janat,-0.1925710463022468,-20.67635324147224,-22.093516506778364,6,0.75,Gujarat Titans,Bowler,-0.2567613950696624,0.2727272727272727,-0.7060938364415716,-0.9414584485887622,-27.568470988629652,Budget (<2 Cr)
Mohammed Shami,-0.1945799936285319,-20.89205391589547,-65.06030901793629,187,10.0,Sunrisers Hyderabad,Bowler,-0.01945799936285319,8.5,-0.02289176395629787,-0.002289176395629787,-2.089205391589547,Marquee (>10 Cr)
Simarjeet Singh,-0.2351452515069612,-25.247545654302428,-40.12775994001672,63,1.5,Sunrisers Hyderabad,Bowler,-0.1567635010046408,2.8636363636363638,-0.0821142148119547,-0.05474280987463647,-16.831697102868286,Budget (<2 Cr)
Fazalhaq Farooqi,-0.3467422745939234,-37.22971802314956,-61.79388128845568,104,2.0,Rajasthan Royals,Bowler,-0.1733711372969617,4.7272727272727275,-0.07334932731794534,-0.03667466365897267,-18.61485901157478,Mid-tier (2-5 Cr)
