batter_id,batter_name,RAA,balls_faced,RAA_per_ball,VORP,WAR,WAR_per_ball
944533a5,KK Nair,32.363506876561395,130,0.2489500528966261,65.81702266603509,0.6129926670954184,0.004715328208426296
85b3fab2,T Stubbs,10.975229717114466,203,0.0540651710202683,63.21418129606184,0.5887508735779252,0.002900250608758252
29e95537,AM Rahane,-8.099716993253278,275,-0.029453516339102828,62.66733563832567,0.5836577781347273,0.0021223919204899173
a4cc73aa,SV Samson,5.606617629339193,214,0.026199147800650434,60.67625131354972,0.5651136380138746,0.0026407179346442738
f1f99156,TH David,32.504474479811236,107,0.30378013532533865,60.0392913219165,0.5591812547444956,0.005225993034995286
ba5e1069,R Ravindra,16.682853537400746,152,0.10975561537763649,55.797733537400745,0.5196771308317104,0.0034189284923138844
a4e37e47,S Dube,-19.554381602809052,289,-0.06766222007892406,54.81535734455938,0.5105276831941825,0.001766531775758417
2e171977,AR Patel,9.238108675360069,176,0.05248925383727312,54.5290223595706,0.5078608769634962,0.0028855731645653195
872b03f7,A Badoni,-6.348619032570676,235,-0.02701540013859862,54.12504412532407,0.5040983899164019,0.002145099531559157
fb2d1dda,N Rana,17.05878997102572,143,0.11929223755962043,53.857657339446774,0.5016080594155422,0.003507748667241554
9caf69a1,WG Jacks,6.500649442317156,181,0.035915190289045065,53.07823681073821,0.4943488573226992,0.002731209156479001
b0482a1d,Tilak Varma,-14.540292917375538,259,-0.05614012709411405,52.10940392472973,0.4853255464722896,0.001873843808773319
0a509d6b,RK Singh,15.892076783855423,139,0.11433148765363614,51.66160520490806,0.48115493345355365,0.0034615462838385154
fe93fd9d,RA Jadeja,-11.872824761741546,233,-0.05095632944953453,48.086168922468985,0.44785479111920445,0.0019221235670352122
5ffc0565,V Nigam,26.904809568619424,82,0.32810743376365153,48.00625798967206,0.4471105335724323,0.005452567482590638
c740ea83,RM Patidar,-12.31554597661362,229,-0.053779676753771266,46.61410876022849,0.4341446284830818,0.001895828071978523
d7017798,A Raghuvanshi,-9.886804095326337,217,-0.045561309195052246,45.95483379941051,0.42800441277275314,0.0019723705657730558
84d9c311,Ashutosh Sharma,7.589580918648959,142,0.053447752948232105,44.13111355022791,0.41101903278595425,0.0028945002308870017
7dcb9bc9,M Shahrukh Khan,16.311648319314102,104,0.15684277230109714,43.074460950893055,0.40117780526118146,0.0038574788967421295
c5aef772,R Shepherd,35.84327177513738,25,1.4337308710054952,42.276640196190016,0.3937472310346467,0.01574988924138587
45a43fe2,RD Gaikwad,19.828468615667663,82,0.2418105928739959,40.9299170367203,0.38120440566937036,0.004648834215480126
8e514b4c,Abdul Samad,10.603977125554264,98,0.10820384821994147,35.82278133608058,0.3336386452089092,0.0034044759715194813
f89d3b11,Sameer Rizvi,13.126678625740858,83,0.15815275452699828,34.4854617836356,0.3211834011701183,0.0038696795321700997
ded9240e,PJ Cummins,19.299631940460962,58,0.3327522748355338,34.22504667730307,0.31875800202387133,0.0054958276211012295
bbd41817,AD Russell,4.939406213717046,111,0.04449915507853194,33.50356200319074,0.31203839064162,0.002811156672447027
dbe50b21,HH Pandya,-4.737998836234981,148,-0.032013505650236355,33.347542216396604,0.3105852865455584,0.002098549233415935
6b2ff18f,SB Dubey,15.367498212546565,66,0.2328408820082813,32.35159084412551,0.30130940527266004,0.0045652940192827274
0994d0ae,V Shankar,5.837715465662841,95,0.061449636480661485,30.284515465662842,0.282057515746138,0.002969026481538295
cf59b3f0,Urvil Patel,21.09929928801818,34,0.6205676261181817,29.84868034064976,0.2779983267267371,0.008176421374315797
e94915e6,SM Curran,6.9271095237031295,88,0.07871715367844466,29.572566365808395,0.2754267147788805,0.003129849031578187
919a3be2,RR Pant,-27.097357327404183,217,-0.12487261441200084,28.744280567332666,0.26771240167023064,0.00123369770354945
2c25d4f5,D Padikkal,-17.008577272954188,175,-0.09719187013116679,28.025001674414238,0.2610133340263969,0.0014915047658651253
4a8a2e3b,MS Dhoni,-14.119184807012719,154,-0.09168301822735532,25.510364666671496,0.2375930396448868,0.001542811945746018
abb83e27,JM Bairstow,12.213788268595023,49,0.2492609850733678,24.823190373858182,0.2311929810362129,0.004718224102779855
00ea847a,MA Agarwal,7.52738873548267,65,0.11580598054588723,24.254146630219513,0.2258931417548618,0.003475279103920951
48a1d7b7,SO Hetmyer,-25.61200495169964,182,-0.1407253019324156,21.22291715356352,0.19766151768243942,0.0010860522949584584
df5a6881,DP Conway,-11.792296449228527,125,-0.09433837159382821,20.37454565603463,0.18976013463755825,0.001518081077100466
3c55c703,JG Bethell,9.40971313911358,39,0.24127469587470715,19.445767875955685,0.181109880562128,0.004643843091336615
372455c4,Q de Kock,-13.871820802643507,123,-0.11277903091580087,17.780351828935444,0.16559888077615204,0.0013463323640337565
93b4fc78,MK Pandey,-0.24526226295087306,67,-0.0036606307903115382,16.99616510547018,0.15829528830651188,0.0023626162433807744
a24be938,VR Iyer,-10.644031220458444,107,-0.09947692729400415,16.89078562164682,0.15731382715513476,0.0014702226836928482
172dff15,C Bosch,6.500918693792658,32,0.20315370918102058,14.735630272740028,0.13724159702654398,0.0042887999070794994
0bacade8,Rahmanullah Gurbaz,-0.27525962313884045,55,-0.00500472042070619,13.87815090317695,0.12925538700919204,0.002350097945621673
08548b13,PHKD Mendis,-5.235466556225815,72,-0.0727148132809141,13.292634496405764,0.12380212812150287,0.00171947400168754
5574750c,JC Archer,0.09982625736116213,51,0.0019573775953169044,13.22389783630853,0.12316194315272916,0.002414940061818219
50c6bc2b,LS Livingstone,-10.094173377098876,90,-0.11215748196776529,13.0659529386906,0.12169090936658843,0.0013521212151843159
23eeb873,DL Chahar,6.205723754088913,25,0.2482289501635565,12.639092175141545,0.11771530385714395,0.004708612154285758
39a2dfa8,R Tewatia,-3.607453771105552,63,-0.057261170969929394,12.604634649947082,0.11739438064587018,0.0018634028673947649
3355b542,F du Plessis,-33.831926059989414,179,-0.18900517351949392,12.230991834747435,0.11391442520953185,0.0006363934369247589
8f6dd463,Azmatullah Omarzai,-0.9870742369753192,43,-0.022955214813379515,10.078319447235208,0.09386532036169513,0.002182914427016166
f19ccfad,Washington Sundar,-11.91552937215605,85,-0.14018269849595352,9.9579232594229,0.09274399980835335,0.0010911058800982746
5b8c830e,KH Pandya,-14.228824080747849,89,-0.15987442787357134,8.67396749819952,0.0807857641631696,0.0009077052153165123
cbf58a86,SK Rasheed,-8.88404102276776,67,-0.13259762720548895,8.357386345653293,0.07783725757337517,0.0011617501130354504
59559bc2,J Overton,4.682237676533089,7,0.6688910966475842,6.483580834427826,0.06038540406470919,0.008626486294958456
5d1e7582,BKG Mendis,3.1732588078357202,11,0.2884780734396109,6.003940913098878,0.05591823519697195,0.00508347592699745
be24ead0,Ramandeep Singh,-3.3748226043433185,36,-0.09374507234286995,5.889227921972472,0.05484984559907303,0.001523606822196473
3204c99f,G Coetzee,2.7301271275565617,11,0.2481933752324147,5.56080923281972,0.05179108906416802,0.004708280824015274
107c26fb,KT Maphaka,4.091330772040337,3,1.3637769240134456,4.863334982566652,0.045295100890068475,0.015098366963356159
495d42a5,R Ashwin,-2.866222226561404,30,-0.09554074088538013,4.853819878701755,0.04520648112789191,0.0015068827042630636
3c28853f,Sediqullah Atal,0.6971588827116557,16,0.04357243016947848,4.81451467218534,0.04484040860748198,0.0028025255379676237
eef2536f,Avesh Khan,0.6663099684069037,14,0.047593569171921694,4.268996284196378,0.039759674808572024,0.002839976772040859
0a67aec0,Akash Deep,3.4979127030022763,2,1.7489563515011382,4.012582176686487,0.03737153931905082,0.01868576965952541
e4a0deae,MJ Santner,-4.896757095967957,34,-0.14402226752846933,3.8526239566636233,0.03588175427646105,0.0010553457140135604
77255a9e,RA Tripathi,-11.314167512681164,57,-0.19849416688914323,3.353912487318837,0.031236960857956943,0.0005480168571571393
35f173a0,MP Breetzke,0.18979596226658457,12,0.01581633018888205,3.277812804371848,0.030528199724055585,0.0025440166436712986
1ac746c8,Atharva Taide,0.3801218565438078,11,0.03455653241307344,3.210803961806966,0.02990410693682561,0.0027185551760750552
c05edf8e,Harpreet Brar,-0.3122374934845039,13,-0.024018268729577224,3.0331140854628647,0.028249176543381434,0.0021730135802601105
ba6b2f91,RA Bawa,1.8751523380461261,4,0.46878808451153153,2.9044912854145473,0.027051236708713303,0.006762809177178326
2f9d0389,LH Ferguson,2.5150546680865062,1,2.5150546680865062,2.7723894049286115,0.02582089415040152,0.02582089415040152
8d2c70ad,Kuldeep Yadav,-1.658267029780867,16,-0.10364168936130419,2.4590887596928175,0.02290294085585189,0.001431433803490743
77b1aa15,Harshit Rana,-12.17142295511677,54,-0.2253967213910513,1.724652834356915,0.016062706848811725,0.00029745753423725415
