bowler_id,bowler_name,RAA,balls_bowled,RAA_per_ball,VORP,WAR,WAR_per_ball
81c36ee9,M Jansen,-14.950029075970992,300,-0.04983343025323664,55.908134189335144,0.5207053570767919,0.0017356845235893064
7c3b3b78,VG Arora,-8.6660078036736,272,-0.03186032280762353,55.57872689020396,0.5176373930353354,0.0019030786508652036
5f547c8b,Rashid Khan,-24.64668435592547,336,-0.07335322724977818,54.71445850121739,0.5095879528845804,0.0015166308121564891
04a418e8,R Parag,23.798681958475775,128,0.185927202800592,54.03149828500639,0.503227142451396,0.003931462050401531
c7a995d3,R Sai Kishore,-9.392991025829666,262,-0.03585111078560941,52.489804892537684,0.48886844456121525,0.0018659100937450965
5ffc0565,V Nigam,-7.593686007871108,244,-0.03112166396668487,50.03762011457788,0.46602980455041326,0.001909958215370546
46a9bea1,TU Deshpande,-2.3519604706507735,212,-0.011094153163447045,47.72114157016556,0.4444550765592396,0.0020964862101850923
2e81a32d,B Kumar,-31.464196001769217,318,-0.09894401258417992,43.645457059455275,0.4064958280660825,0.001278288767503404
23eeb873,DL Chahar,-18.992318976247176,264,-0.07194060218275446,43.362864697222214,0.40386387908374977,0.0015297874207717795
7210d461,Yash Dayal,-30.242493461173453,305,-0.09915571626614247,41.79663919188778,0.3892766991886726,0.0012763170465202379
9440ef41,Suyash Sharma,-30.755839270119136,305,-0.10083881727907913,41.28329338294209,0.38449560755278095,0.001260641336238626
2e171977,AR Patel,-12.087353224823374,219,-0.055193393720654675,39.639105958850095,0.369182322425725,0.0016857640293412102
54e52590,Vijaykumar Vyshak,12.56776464515601,113,0.11121915615182311,39.25767280842132,0.3656298110125856,0.003235662044359165
2f9d0389,LH Ferguson,19.967376152905484,76,0.2627286335908616,37.91811084678304,0.3531536820972621,0.004646758974963975
77b1aa15,Harshit Rana,-28.126387546650847,276,-0.10190720125598132,37.063122657430796,0.3451906739073372,0.0012506908474903522
759ac88f,MM Sharma,-1.549017810714066,163,-0.00950317675284703,36.95058423010226,0.34414253730187444,0.0021113039098274505
eef2536f,Avesh Khan,-34.70375221173241,294,-0.1180399735092939,34.737247788267595,0.3235284324137803,0.001100436844944831
80b2fb19,Prince Yadav,0.0894215245801897,144,0.0006209828095846507,34.10133989192713,0.3176058479270479,0.0022055961661600547
2cffab74,Mukesh Kumar,-26.57651696033078,255,-0.10422163513855207,33.652921815179425,0.3134294664727524,0.0012291351626382446
fe93fd9d,RA Jadeja,-24.231996497062045,232,-0.10444826076319848,30.564983094774693,0.28466967583845293,0.0012270244648209178
57ee1fde,YS Chahal,-37.473020821682454,277,-0.13528166361618213,27.952683259950206,0.26033979007125085,0.0009398548378023497
12314277,Arshad Khan,-36.953573775271394,272,-0.13585872711496835,27.291160918606167,0.25417864318344197,0.0009344803058214779
