price_name,cricwar_name,team,price_cr,total_WAR,batting_WAR,bowling_WAR,match_type,war_per_crore,price_per_1_war
Wanindu Hasaranga,,Rajasthan Royals,5.25,0.0,0.0,0.0,none,0.0,
Maheesh Theekshana,M Theekshana,Rajasthan Royals,4.4,0.5875668484270086,-0.1032817912335398,0.6908486396605483,exact,0.1335379200970474,7.488509625380264
Nitish Rana,,Rajasthan Royals,4.2,0.0,0.0,0.0,none,0.0,
Fazalhaq Farooqi,Fazalhaq Farooqi,Rajasthan Royals,2.0,-0.34735808324117473,-0.0006158086472513,-0.3467422745939234,exact,-0.17367904162058737,
Kwena Maphaka,KT Maphaka,Rajasthan Royals,1.5,0.003427416226774199,0.0452951008900684,-0.0418676846632942,exact,0.0022849441511827995,
Akash Madhwal,Akash Madhwal,Rajasthan Royals,1.2,0.2251177859083468,-0.0076910147202284,0.2328088006285752,exact,0.18759815492362233,5.330542831869185
Vaibhav Suryavanshi,V Suryavanshi,Rajasthan Royals,1.1,0.9246488151581256,0.9246488151581256,0.0,exact,0.8405898319619323,1.189640847386894
Shubham Dubey,SB Dubey,Rajasthan Royals,0.8,0.30130940527266,0.30130940527266,0.0,exact,0.37663675659082496,2.65507808916906
Yudhvir Singh,Yudhvir Singh,Rajasthan Royals,0.35,-0.0812649866405143,0.0,-0.0812649866405143,exact,-0.23218567611575516,
Kumar Kartikeya,K Kartikeya,Rajasthan Royals,0.3,0.0328605226858554,-0.0021850131086996,0.035045535794555,exact,0.10953507561951802,
Kunal Rathore,,Rajasthan Royals,0.3,0.0,0.0,0.0,none,0.0,
Ashok Sharma,,Rajasthan Royals,0.3,0.0,0.0,0.0,none,0.0,
Kartik Tyagi,Kartik Tyagi,Rajasthan Royals,0.6,0.0,0.0,0.0,metadata_only,0.0,
Virat Kohli,V Kohli,Royal Challengers Bengaluru,21.0,0.9538712989823688,0.9538712989823688,0.0,exact,0.045422442808684224,22.015548661966985
Rajat Patidar,RM Patidar,Royal Challengers Bengaluru,11.0,0.4341446284830818,0.4341446284830818,0.0,exact,0.03946769349846198,25.33717862278851
Yash Dayal,Yash Dayal,Royal Challengers Bengaluru,5.0,0.3634586399066841,-0.0258180592819885,0.3892766991886726,exact,0.07269172798133682,13.7567234645563
Josh Hazlewood,JR Hazlewood,Royal Challengers Bengaluru,12.5,0.5349461872421616,-0.0036389145717596,0.5385851018139212,exact,0.042795694979372925,23.366836325055345
