bowler_id,bowler_name,RAA,RAA_per_ball,balls_bowled,total_weighted_runs_against,is_replacement,VORP,VORP_per_ball,WAR,WAR_per_ball
5b7ab5a9,CV Varun,22.111,0.0326,679,-104.0145,False,162.7385568627451,0.23967386872274682,1.4602785570586352,0.0021506311591437924
a2f46292,KK Ahmed,19.5274,0.03,651,-46.8758,False,154.3558823529412,0.2371058100659619,1.3850595058795538,0.0021275875666352593
32198ae0,MC Henriques,11.9979,0.0175,684,-44.8915,False,153.66100588235292,0.2246505933952528,1.3788242704850282,0.0020158249568494563
df064e1a,Ravi Bishnoi,32.2806,0.0576,560,-81.3569,False,148.26209019607845,0.2647537324929972,1.3303789545130824,0.002375676704487647
d2a989fc,DS Kulkarni,-62.7262,-0.0623,1007,57.9424,False,145.8333725490196,0.1448196351032965,1.3085856907068834,0.0012994892658459616
759ac88f,MM Sharma,-90.8009,-0.08,1135,76.3743,False,144.2687274509804,0.1271090109700268,1.2945458852046103,0.0011405690618542822
2cdce1be,C Sakariya,54.9444,0.1357,405,-74.8738,False,138.8238705882353,0.34277498910675386,1.2456883318613903,0.003075773658917013
1abb78f8,SN Thakur,-164.0693,-0.1134,1447,37.6644,False,135.61858627450982,0.09372397116413948,1.216926813737831,0.0008409998712770084
2f9d0389,LH Ferguson,-5.7849,-0.0085,678,-12.7352,False,134.63554705882353,0.19857750303661287,1.2081058489026497,0.0017818670337797194
0f721006,JO Holder,20.2657,0.0367,552,-44.3021,False,134.5903117647059,0.2438230285592498,1.207699945524276,0.002187862220152674
96fd40ae,A Nehra,-8.6033,-0.0127,678,-31.2803,False,131.81714705882354,0.19442057088322057,1.1828159043157302,0.0017445662305541744
7a8bd078,S Gopal,11.4732,0.0202,568,-50.1703,False,129.111568627451,0.22730909969621654,1.1585383253329826,0.0020396801502341245
e938e1bc,P Kumar,-10.1343,-0.0154,657,8.6997,False,125.93684117647061,0.19168468976631753,1.1300509987243161,0.0017200167408284873
2a2e6343,DT Christian,26.0598,0.0615,424,-40.3696,False,113.8743568627451,0.2685715963743988,1.0218124378831641,0.0024099349950074626
a97c8ec2,PWH de Silva,30.2002,0.0791,382,-35.2103,False,109.31614509803921,0.2861679191048147,0.9809108898612879,0.0025678295546107013
